,literature,temperatureOptimumMaximum,temperatureOptimum,commentary,organism,ecNumber
110,[667071],,-999,hyperthermophilic enzyme,Pyrococcus horikoshii,1.1.1.103
111,[738860],,39,,Escherichia coli,1.1.1.103
112,[655857],,45,,Cytophaga sp.,1.1.1.103
113,[698526],,45,,Streptomyces sp. 139,1.1.1.103
114,[669546],,65,assay at,Pyrococcus horikoshii,1.1.1.103
115,[687461],,65,assay at,Pyrococcus horikoshii,1.1.1.103
116,[688343],,65,assay at,Pyrococcus horikoshii,1.1.1.103
117,[668536],,70,,Pyrococcus horikoshii,1.1.1.103
118,[722747],,70,,Thermoplasma volcanium,1.1.1.103
119,[668567],,70,assay at,Pyrococcus furiosus,1.1.1.103
120,[721272],,75,,Cupriavidus necator,1.1.1.103
121,[698673],,90,,Thermococcus kodakarensis KOD1,1.1.1.103
122,[722769],,37,assay at,Mus musculus,1.1.1.105
123,[737923],,60,,Kangiella koreensis,1.1.1.105
124,[655029],,30,,Microbacterium luteolum,1.1.1.107
125,[656239],,30,,Microbacterium luteolum,1.1.1.107
126,[688568],,30,assay at,Saccharomyces cerevisiae,1.1.1.107
127,[667329],,50,,Mesorhizobium loti,1.1.1.107
128,[285741],,30,activity declines rapidly above 35&deg;C,Pseudomonas putida,1.1.1.108
129,[285745],,35,,Pseudomonas aeruginosa,1.1.1.108
130,[285739],,40,,Rhizobium sp. YS-240,1.1.1.108
131,[285737],,45,L-carnitine dehydrogenase,Agrobacterium sp.,1.1.1.108
132,[285737],,50,,Alcaligenes sp.,1.1.1.108
133,[285748],,25,enzyme assay at,Klebsiella aerogenes,1.1.1.11
134,[285747],,28,enzyme assay at,Klebsiella aerogenes,1.1.1.11
135,[701082],,30,"optimal temperature for oxidation is at 30&deg;C, with 2% of the maximum activity at 50&deg;C",Gluconobacter oxydans,1.1.1.11
136,[286312],,50,,Candida maltosa,1.1.1.110
137,[285767],,25,assay at,Sus scrofa,1.1.1.116
138,[668641],,25,assay at,Saccharomyces cerevisiae,1.1.1.116
139,[285769],,30,assay at,Sus scrofa,1.1.1.116
140,[285770],,30,assay at,Sus scrofa,1.1.1.116
141,[285771],,30,assay at,Neurospora crassa,1.1.1.116
142,[285772],,30,assay at,Pseudomonas sp.,1.1.1.116
143,[10663],,30,assay at,Candida albicans,1.1.1.116
144,[285791],,23,assay at,Pseudomonas sp.,1.1.1.117
145,[285790],,24,assay at,Pseudomonas sp.,1.1.1.117
146,[10663],,30,,Candida albicans,1.1.1.117
147,[668049],,30,assay at,Komagataeibacter xylinus,1.1.1.118
148,[285777],,35,,Corynebacterium sp.,1.1.1.118
149,[639110],,77,,Saccharolobus solfataricus,1.1.1.118
150,[285782],,50,,Gluconobacter oxydans,1.1.1.119
151,[721913],,25,assay at,Aspergillus oryzae,1.1.1.12
152,[740145],,25,assay at,Trichoderma reesei,1.1.1.12
153,[740218],,30,assay at,Aspergillus tubingensis,1.1.1.12
154,[738728],,40,,Meyerozyma caribbica,1.1.1.12
155,[710970],,45,,Aspergillus niger,1.1.1.12
156,[710970],,45,,Trichoderma reesei,1.1.1.12
157,[710970],,45,,Penicillium chrysogenum,1.1.1.12
158,[684627],55,45,,Neurospora crassa,1.1.1.12
159,[739939],,65,both free and immobilized enzyme HjLAD,Trichoderma reesei,1.1.1.12
160,[285790],,23,assay at,Pseudomonas sp.,1.1.1.121
161,[285791],,23,assay at,Pseudomonas sp.,1.1.1.121
162,[285794],,25,assay at,Pseudomonas sp.,1.1.1.121
163,[719111],,37,assay at,Thermoplasma acidophilum,1.1.1.121
164,[719111],,70,,Thermoplasma acidophilum,1.1.1.121
165,[285798],50,40,,Agrobacterium tumefaciens,1.1.1.122
166,[285805],,50,,Oryctolagus cuniculus,1.1.1.122
167,[741316],,50,,Acinetobacter sp.,1.1.1.122
168,[719837],,80,assay at,Saccharolobus solfataricus,1.1.1.122
169,[285808],,30,assay at,Saccharomyces cerevisiae,1.1.1.123
170,[285810],55,40,,Bemisia argentifolii,1.1.1.123
171,[285813],,45,for ketose reduction,Bemisia argentifolii,1.1.1.123
172,[285813],,50,for sorbitol oxidation,Bemisia argentifolii,1.1.1.123
173,[285820],,45,,Dickeya chrysanthemi,1.1.1.127
174,[741387],,45,,Pectobacterium carotovorum subsp. carotovorum,1.1.1.127
175,[285789],,8.5,reaction proceeds to completion in vitro,Penicillium chrysogenum,1.1.1.13
176,[740241],,20,isoform GMD1,Saccharina japonica,1.1.1.132
177,[667316],,25,assay at,Pseudomonas aeruginosa,1.1.1.132
178,[740241],,30,isoform GMD1,Saccharina japonica,1.1.1.132
179,[691949],,37,assay at,Pseudomonas aeruginosa,1.1.1.132
180,[285830],,50,,Pseudomonas aeruginosa,1.1.1.132
181,[657064],,30,,Arabidopsis thaliana,1.1.1.133
182,[661486],,30,assay at,Salmonella enterica,1.1.1.133
183,[667737],30,25,assay at,Salmonella enterica subsp. enterica serovar Typhi,1.1.1.136
184,[656241],37,33,,Pseudomonas aeruginosa,1.1.1.136
185,[725107],,37,,Escherichia coli,1.1.1.136
186,[669463],,22,"assay at room temperature, forward reaction",Cladosporium herbarum,1.1.1.138
187,[686764],,25,"assay at, both reaction directions",Pseudomonas fluorescens,1.1.1.138
188,[655118],,35,reduction of D-fructose,Lactobacillus intermedius,1.1.1.138
189,[667280],,37,recombinant enzyme,Lactobacillus reuteri,1.1.1.138
190,[655114],,37,reduction of D-fructose,Starmerella magnoliae,1.1.1.138
191,[654271],,37,reduction of fructose,Starmerella magnoliae,1.1.1.138
192,[686917],40,37,both reaction directions,Tuber borchii,1.1.1.138
193,[655114],,40,oxidation of D-fructose,Starmerella magnoliae,1.1.1.138
194,[654271],,40,oxidation ofr fructose,Starmerella magnoliae,1.1.1.138
195,[285865],,47,,Agaricus bisporus,1.1.1.138
196,[654090],,20,assay at,Homo sapiens,1.1.1.14
197,[655022],,25,assay at,Gluconobacter oxydans,1.1.1.14
198,[655030],,30,,Gluconobacter oxydans,1.1.1.14
199,[285884],,35,,Scheffersomyces stipitis,1.1.1.14
200,[285901],,37,,[Candida] boidinii,1.1.1.14
201,[712908],,37,assay at,Homo sapiens,1.1.1.14
202,[656694],,40,D-sorbitol oxidation,Gluconobacter sp.,1.1.1.14
203,[736022],,45,,Deinococcus geothermalis,1.1.1.14
204,[656694],,50,D-fructose reduction,Gluconobacter sp.,1.1.1.14
205,[285874],,60,,Malus domestica,1.1.1.14
206,[285907],,-999,assay at room temperature,Escherichia coli,1.1.1.140
207,[669655],,25,assay at,Escherichia coli,1.1.1.140
208,[285905],,25,assay at,Clostridium pasteurianum,1.1.1.140
209,[285916],,25,assay at,Homo sapiens,1.1.1.141
210,[285923],,25,assay at,Homo sapiens,1.1.1.141
211,[285932],,25,assay at,Homo sapiens,1.1.1.141
212,[726267],,25,assay at,Homo sapiens,1.1.1.141
213,[670868],,25,assay at,Bos taurus,1.1.1.141
214,[285918],,37,assay at,Cavia porcellus,1.1.1.141
215,[285939],,37,assay at,Homo sapiens,1.1.1.141
216,[668172],,37,assay at,Homo sapiens,1.1.1.141
217,[724920],,37,assay at,Homo sapiens,1.1.1.141
218,[285918],,37,assay at,Rattus norvegicus,1.1.1.141
219,[285918],,37,assay at,Sus scrofa,1.1.1.141
220,[285925],,37,assay at,Sus scrofa,1.1.1.141
221,[285918],,37,assay at,Canis lupus familiaris,1.1.1.141
222,[389370],,25,assay at,Pseudomonas sp.,1.1.1.145
223,[656091],,27,assay at,Homo sapiens,1.1.1.145
224,[662371],,27,assay at,Homo sapiens,1.1.1.145
225,[725813],,27,assay at,Homo sapiens,1.1.1.145
226,[724518],,30,assay at,Mycobacterium tuberculosis,1.1.1.145
227,[657352],,37,,Rattus norvegicus,1.1.1.145
228,[656652],,37,assay at,Rattus norvegicus,1.1.1.145
229,[656655],,37,assay at,Rattus norvegicus,1.1.1.145
230,[724302],,37,assay at,Homo sapiens,1.1.1.145
231,[725511],,37,assay at,Homo sapiens,1.1.1.145
232,[669061],,37,assay at,Sus scrofa,1.1.1.145
233,[389372],45,40,,Homo sapiens,1.1.1.145
234,[389381],,45,,Streptomyces griseocarneus,1.1.1.145
235,[285967],20,18,assay at,Cavia porcellus,1.1.1.146
236,[285967],20,18,assay at,Rattus norvegicus,1.1.1.146
237,[669419],,22,assay at room temperature,Homo sapiens,1.1.1.146
238,[687328],,26,assay at,Homo sapiens,1.1.1.146
239,[667148],,37,,Rattus norvegicus,1.1.1.146
240,[669730],,37,assay at,Mus musculus,1.1.1.146
241,[656356],,37,assay at,Homo sapiens,1.1.1.146
242,[667152],,37,assay at,Homo sapiens,1.1.1.146
243,[668424],,37,assay at,Homo sapiens,1.1.1.146
244,[668636],,37,assay at,Homo sapiens,1.1.1.146
245,[669730],,37,assay at,Homo sapiens,1.1.1.146
246,[670252],,37,assay at,Homo sapiens,1.1.1.146
247,[669504],,37,assay at,Rattus norvegicus,1.1.1.146
248,[670252],,37,assay at,Ovis aries,1.1.1.146
249,[654889],,37,assay at,Felis catus,1.1.1.146
250,[699842],,37,assay at,Homo sapiens,1.1.1.146
251,[285980],,23,assay at,Rattus norvegicus,1.1.1.149
252,[285982],,25,assay at,Rattus norvegicus,1.1.1.149
253,[739864],,25,assay at,Homo sapiens,1.1.1.149
254,[668428],,37,assay at,Mus musculus,1.1.1.149
255,[670272],,37,assay at,Mus musculus,1.1.1.149
256,[654055],,37,assay at,Homo sapiens,1.1.1.149
257,[669621],,37,assay at,Homo sapiens,1.1.1.149
258,[654055],,37,assay at,Oryctolagus cuniculus,1.1.1.149
259,[670023],,37,assay at,Capra hircus,1.1.1.149
260,[285988],,50,reduction of 17alpha-hydroxyprogesterone,Sus scrofa,1.1.1.149
261,[667828],,22,assay at,Dictyostelium discoideum,1.1.1.153
262,[667296],30,25,assay at,Rattus norvegicus,1.1.1.153
263,[286013],,25,assay at,Rattus norvegicus,1.1.1.153
264,[286023],,25,assay at,Rattus norvegicus,1.1.1.153
265,[286013],,25,assay at,Equus caballus,1.1.1.153
266,[286020],,25,"assay at, sepiapterin reductase activity",Rattus norvegicus,1.1.1.153
267,[286031],,30,,Drosophila melanogaster,1.1.1.153
268,[286030],,30,,Dictyostelium discoideum,1.1.1.153
269,[725527],,37,assay at,Homo sapiens,1.1.1.153
270,[286024],,37,assay at,Rattus norvegicus,1.1.1.153
271,[740892],,37,assay at,Homo sapiens,1.1.1.153
272,[740892],,37,assay at,Rattus norvegicus,1.1.1.153
273,[286020],,37,"assay at, NADPH-dependent dicarbonyl reductase activity",Rattus norvegicus,1.1.1.153
274,[698883],,50,,Bombyx mori,1.1.1.153
275,[739887],,50,recombinant enzyme,Musca domestica,1.1.1.153
276,[286026],,50,"highest activity, activity decreases slowly above",Chlorobaculum tepidum,1.1.1.153
277,[726324],,30,assay at,Escherichia coli,1.1.1.154
278,[286046],,25,assay at,Clostridium kluyveri,1.1.1.157
279,[286047],,25,assay at,Clostridium kluyveri,1.1.1.157
280,[286053],,25,assay at,Clostridium kluyveri,1.1.1.157
281,[670926],,22,assay at room temperature,Bacteroides fragilis,1.1.1.159
282,[286075],30,25,,Brevibacterium fuscum,1.1.1.159
283,[670898],,28,substrate cholic acid,Stenotrophomonas maltophilia,1.1.1.159
284,[740390],,35,recombinant enzyme,Rhizobium leguminosarum,1.1.1.16
285,[389408],,37,assay at,Homo sapiens,1.1.1.160
286,[286088],,25,assay at,Gallus gallus,1.1.1.162
287,[286092],,25,assay at,Gallus gallus,1.1.1.162
288,[286092],,25,assay at,Bos taurus,1.1.1.162
289,[347726],,25,assay at,Saccharomyces cerevisiae,1.1.1.168
290,[347724],,30,assay at,Candida parapsilosis,1.1.1.168
291,[347730],,30,assay at,Candida parapsilosis,1.1.1.168
292,[347730],,30,assay at,Mucor ambiguus,1.1.1.168
293,[654677],,25,assay at,Escherichia coli,1.1.1.169
294,[740065],,25,assay at,Staphylococcus aureus,1.1.1.169
295,[687675],,27,assay at,Escherichia coli,1.1.1.169
296,[286102],40,35,"S-246, non-purified enzyme",Agrobacterium sp.,1.1.1.169
297,[286102],40,35,"AKU 309, non-purified enzyme",Agrobacterium tumefaciens,1.1.1.169
298,[286103],,37,reduction of ketopantoic acid,Stenotrophomonas maltophilia,1.1.1.169
299,[286107],,42,reduction of ketopantoic acid at pH 6.0,Salmonella enterica subsp. enterica serovar Typhimurium,1.1.1.169
300,[739822],,70,assay at,Thermococcus kodakarensis,1.1.1.169
301,[741385],,70,assay at,Thermococcus kodakarensis,1.1.1.169
302,[736827],,90,recombinant enzyme,Thermococcus kodakarensis,1.1.1.169
303,[685964],,25,,Aspergillus fumigatus,1.1.1.17
304,[722234],,25,assay at,Aspergillus fumigatus,1.1.1.17
305,[722126],,30,,Acinetobacter baylyi,1.1.1.17
306,[741122],,30,,Ectocarpus siliculosus,1.1.1.17
307,[722935],,30,assay at,Vibrio cholerae serotype O1,1.1.1.17
308,[723496],,30,assay at,Ectocarpus siliculosus,1.1.1.17
309,[711681],,37,,Beauveria bassiana,1.1.1.17
310,[94720],,50,,Eimeria tenella,1.1.1.17
311,[741051],,30,assay at,Homo sapiens,1.1.1.170
312,[741051],,30,assay at,Saccharomyces cerevisiae,1.1.1.170
313,[686697],,30,assay at,Scheffersomyces stipitis,1.1.1.173
314,[687737],,30,oxidation assay at,Debaryomyces hansenii,1.1.1.173
315,[687737],,30,oxidation assay at,Scheffersomyces stipitis,1.1.1.173
316,[733813],,60,,Sulfobacillus thermosulfidooxidans,1.1.1.173
317,[286116],35,30,,Arthrobacter sp.,1.1.1.175
318,[730321],,30,"in vivo assay, cell growth at 30&deg;C",Caulobacter vibrioides,1.1.1.175
319,[286115],55,40,,Pseudomonas sp.,1.1.1.175
320,[347737],,-999,"optimum above 55&deg;C, not measurable because enzyme is inactivated above 55&deg;C",Clostridium sp.,1.1.1.176
321,[657307],,70,,Archaeoglobus fulgidus,1.1.1.177
322,[286120],,30,assay at,Pseudomonas putida,1.1.1.178
323,[286126],,30,assay at,Sus scrofa,1.1.1.179
324,[686797],,30,assay at,Trichoderma reesei,1.1.1.179
325,[655884],,37,assay at,Haloarcula marismortui,1.1.1.179
326,[655884],,50,,Haloarcula marismortui,1.1.1.179
327,[685170],,25,assay at,Bacillus subtilis,1.1.1.18
328,[723126],,40,assay at,Geobacillus kaustophilus,1.1.1.18
329,[655247],,55,,Flavobacterium sp.,1.1.1.18
330,[686700],,25,,Carpoglyphus lactis,1.1.1.183
331,[286133],,25,assay at,Cymbopogon flexuosus,1.1.1.183
332,[286132],,25,assay at,Zingiber officinale,1.1.1.183
333,[741134],,25,assay at,Zingiber officinale,1.1.1.183
334,[741120],,30,assay at,Perilla frutescens,1.1.1.183
335,[741120],,30,assay at,Perilla citriodora,1.1.1.183
336,[741120],,30,assay at,Perilla setoyensis,1.1.1.183
337,[719124],,40,isoforms geraniol-DH I and geraniol-DH II,Persicaria minor,1.1.1.183
338,[722137],,-999,"the enantioselectivity of the enzyme reaction is highly increased at lower temperatures, overview",Neurospora crassa,1.1.1.184
339,[670459],,22,assay at room temperature,Sporidiobolus salmonicolor,1.1.1.184
340,[655213],,25,assay at,Cricetulus griseus,1.1.1.184
341,[347759],,25,assay at,Cavia porcellus,1.1.1.184
342,[347759],,25,assay at,Mus musculus,1.1.1.184
343,[347749],,25,assay at,Homo sapiens,1.1.1.184
344,[656568],,25,assay at,Sus scrofa,1.1.1.184
345,[668177],,25,assay at,Homo sapiens,1.1.1.184
346,[722137],,25,recombinant enzyme,Neurospora crassa,1.1.1.184
347,[725727],,30,,Pichia kudriavzevii,1.1.1.184
348,[711492],,30,,Scheffersomyces stipitis,1.1.1.184
349,[656385],,30,assay at,Oryctolagus cuniculus,1.1.1.184
350,[655090],,30,assay at,Kluyveromyces marxianus,1.1.1.184
351,[668014],,30,assay at,Starmerella magnoliae,1.1.1.184
352,[740964],,30,"oxidation of (R)-1-phenyl-1,2-ethanediol",Candida parapsilosis CCTCC M203011,1.1.1.184
353,[655040],,35,,Cylindrocarpon sclerotigenum,1.1.1.184
354,[724046],,35,,Gluconobacter oxydans,1.1.1.184
355,[740964],,35,reduction of hydroxyacetophenone,Candida parapsilosis CCTCC M203011,1.1.1.184
356,[654729],,37,assay at,Homo sapiens,1.1.1.184
357,[668391],,37,assay at,Homo sapiens,1.1.1.184
358,[668238],,37,assay at,Sus scrofa,1.1.1.184
359,[724899],,37,assay at,Methanobacterium palustre,1.1.1.184
360,[722137],,40,,Neurospora crassa,1.1.1.184
361,[740436],,40,,Gallus gallus,1.1.1.184
362,[347764],,40,reduction of menadione,Candida macedoniensis,1.1.1.184
363,[655067],50,40,,Rhodotorula glutinis,1.1.1.184
364,[655017],,45,,Kluyveromyces lactis,1.1.1.184
365,[740466],50,45,,Kluyveromyces marxianus,1.1.1.184
366,[724049],,50,,Bacillus sp. (in: Bacteria),1.1.1.184
367,[347772],,55,"pH 7.0, reduction of ethyl 4-chloro-3-oxobutanoate",Starmerella magnoliae,1.1.1.184
368,[724899],,60,,Methanobacterium palustre,1.1.1.184
369,[735405],,60,,Thermotoga maritima,1.1.1.184
370,[740396],,70,above 70&deg;C,Aeropyrum pernix,1.1.1.184
371,[721912],,90,,Thermotoga maritima,1.1.1.184
372,[286134],,25,assay at,Gallus gallus,1.1.1.185
373,[286135],,25,assay at,Gallus gallus,1.1.1.185
374,[286137],,25,assay at,Klebsiella aerogenes,1.1.1.185
375,[654851],,24,assay at,Homo sapiens,1.1.1.188
376,[654851],,24,assay at,Rattus norvegicus,1.1.1.188
377,[741357],,25,assay at,Homo sapiens,1.1.1.188
378,[741357],,25,assay at,Bos taurus,1.1.1.188
379,[667713],,30,"assay at, PGH2 9,11-endoperoxide reductase activity",Homo sapiens,1.1.1.188
380,[669760],,37,assay at,Homo sapiens,1.1.1.188
381,[389452],,37,assay at,Bos taurus,1.1.1.188
382,[389460],,37,assay at,Bos taurus,1.1.1.188
383,[654159],,37,assay at,Bos taurus,1.1.1.188
384,[389463],,37,assay at,Oryctolagus cuniculus,1.1.1.188
385,[389446],,37,assay at,Trypanosoma brucei,1.1.1.188
386,[655915],,37,assay at,Trypanosoma brucei,1.1.1.188
387,[740130],,37,assay at,Canis lupus familiaris,1.1.1.188
388,[654368],,37,PGD2 11-ketoreductase activity assay at,Homo sapiens,1.1.1.188
389,[667713],,37,"assay at, PGD2 11-ketoreductase activity",Homo sapiens,1.1.1.188
390,[347776],,37,,Homo sapiens,1.1.1.189
391,[389476],,37,,Homo sapiens,1.1.1.189
392,[347776],,37,,Sus scrofa,1.1.1.189
393,[389473],,37,assay at,Homo sapiens,1.1.1.189
394,[670733],,37,assay at,Homo sapiens,1.1.1.189
395,[389474],,37,assay at,Rattus norvegicus,1.1.1.189
396,[389466],,37,assay at,Bos taurus,1.1.1.189
397,[657212],,37,assay at,Bos taurus,1.1.1.189
398,[389468],,37,assay at,Oryctolagus cuniculus,1.1.1.189
399,[711916],,37,"assay at, ALR1",Rattus norvegicus,1.1.1.19
400,[286146],,38,no exact differentiation between organisms in the reference,Rattus norvegicus,1.1.1.19
401,[286146],,38,no exact differentiation between organisms in the reference,Bos taurus,1.1.1.19
402,[286157],,30,,Phycomyces blakesleeanus,1.1.1.191
403,[347795],,30,assay at,Yarrowia lipolytica,1.1.1.192
404,[347795],,30,assay at,Candida tropicalis,1.1.1.192
405,[347794],,37,assay at,Rattus norvegicus,1.1.1.192
406,[656603],,42,,Nostoc sp.,1.1.1.192
407,[347799],,50,,Pseudomonas putida,1.1.1.192
408,[712962],,60,,Geobacillus thermodenitrificans,1.1.1.192
409,[246735],,37,assay at,Bacillus subtilis,1.1.1.193
410,[246735],,37,assay at,Escherichia coli,1.1.1.193
411,[389484],,25,assay at,Oryza sativa,1.1.1.194
412,[739587],,40,,Streptomyces sp.,1.1.1.194
413,[712611],,16,,Triticum aestivum,1.1.1.195
414,[741217],,20,aldehyde reduction,Populus tomentosa,1.1.1.195
