,EntryID,Substrate,EnzymeType,PubMedID,Organism,UniprotID,ECNumber,parameter.type,parameter.associatedSpecies,parameter.startValue,parameter.endValue,parameter.standardDeviation,parameter.unit
37,4520,Acetaldehyde;NADH;H+,wildtype ADHIII,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,1143.33333,,-,s^(-1)
38,4521,Ethanol;NADP+,wildtype ADHIII,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,NADP+,0.00264,,-,M
39,4521,Ethanol;NADP+,wildtype ADHIII,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,19.3333333,,-,s^(-1)
40,4522,NADP+;Ethanol,mutant ADHIII G225A,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,NADP+,0.00277,,-,M
41,4522,NADP+;Ethanol,mutant ADHIII G225A,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,27.3333333,,-,s^(-1)
42,4523,Ethanol;NADP+,mutant ADHIII A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,10.9833333,,-,s^(-1)
43,4523,Ethanol;NADP+,mutant ADHIII A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,NADP+,0.00621,,-,M
44,4524,NADP+;Ethanol,mutant ADHIII G225A-A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,25.6666667,,-,s^(-1)
45,4524,NADP+;Ethanol,mutant ADHIII G225A-A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,NADP+,0.0055,,-,M
46,4525,NADPH;Acetaldehyde,mutant ADHIII G225A-A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,29.8333333,,-,s^(-1)
47,4525,NADPH;Acetaldehyde,mutant ADHIII G225A-A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,NADPH,5e-05,,-,M
48,4526,Acetaldehyde;NADPH,mutant ADHIII A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,12.2166667,,-,s^(-1)
49,4526,Acetaldehyde;NADPH,mutant ADHIII A274F,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,NADPH,0.00037,,-,M
50,4527,Acetaldehyde;NADPH,mutant ADHIII G225A,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,26.3333333,,-,s^(-1)
51,4527,Acetaldehyde;NADPH,mutant ADHIII G225A,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,NADPH,0.00037,,-,M
52,4528,NADPH;Acetaldehyde,wildtype ADHIII,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,Km,NADPH,0.00021,,-,M
53,4528,NADPH;Acetaldehyde,wildtype ADHIII,15556281.0,Kluyveromyces lactis,P49384,1.1.1.1,kcat,,28.3333333,,-,s^(-1)
54,6441,Ethanol;NAD+,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,Km,Ethanol,5.0,,-,M
55,6441,Ethanol;NAD+,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,kcat,,16.6666667,,-,s^(-1)
56,6442,NAD+;1-Butanol,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,kcat,,14.3333333,,-,s^(-1)
57,6442,NAD+;1-Butanol,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,Km,1-Butanol,0.23,,-,M
58,6443,1-Octanol;NAD+,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,Km,1-Octanol,0.0005,,-,M
59,6443,1-Octanol;NAD+,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,kcat,,5.0,,-,s^(-1)
60,6444,1-Octanol;NAD+,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,Km,NAD+,0.0002,,-,M
61,6444,1-Octanol;NAD+,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,kcat,,,,-,-
62,6445,Butanal;NADH,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,kcat,,156.0,,-,s^(-1)
63,6445,Butanal;NADH,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,Km,Butanal,0.003,,-,M
64,6446,NADH;1-Octanal,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,kcat,,390.0,,-,s^(-1)
65,6446,NADH;1-Octanal,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,Km,1-Octanal,0.0003,,-,M
66,6447,NADH;m-Nitrobenzaldehyde,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,Km,m-Nitrobenzaldehyde,0.0014,,-,M
67,6447,NADH;m-Nitrobenzaldehyde,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,kcat,,980.0,,-,s^(-1)
68,6448,1-Octanal;NADH,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,Km,NADH,5e-05,,-,M
69,6448,1-Octanal;NADH,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,kcat,,,,-,-
70,6449,NAD+;1-Octanol,wildtype ADH-2,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,1-Octanol,0.0016,,-,M
71,6449,NAD+;1-Octanol,wildtype ADH-2,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,0.0666666667,,-,s^(-1)
72,6450,1-Octanol;NAD+,wildtype ADH-2,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,,,-,-
73,6450,1-Octanol;NAD+,wildtype ADH-2,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,NAD+,4e-05,,-,M
74,6451,NADH;1-Octanal,wildtype ADH-2,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,4.16666667,,-,s^(-1)
75,6451,NADH;1-Octanal,wildtype ADH-2,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,1-Octanal,0.0035,,-,M
76,6452,1-Octanal;NADH,wildtype ADH-2,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,NADH,1.7e-06,,-,M
77,6452,1-Octanal;NADH,wildtype ADH-2,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,,,-,-
78,6453,Ethanol;NAD+,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,Ethanol,0.0014,,-,M
79,6453,Ethanol;NAD+,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,0.65,,-,s^(-1)
80,6454,NAD+;1-Octanol,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,0.216666667,,-,s^(-1)
81,6454,NAD+;1-Octanol,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,1-Octanol,6e-05,,-,M
82,6455,NAD+;1-Octanol,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,,,-,-
83,6455,NAD+;1-Octanol,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,NAD+,0.00017,,-,M
84,6456,H+;Acetaldehyde;NADH,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,Acetaldehyde,0.00017,,-,M
85,6456,H+;Acetaldehyde;NADH,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,2.83333333,,-,s^(-1)
86,6457,NADH;Butanal,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,7.33333333,,-,s^(-1)
87,6457,NADH;Butanal,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,Butanal,9e-05,,-,M
88,6458,1-Octanal;NADH,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,7.33333333,,-,s^(-1)
89,6458,1-Octanal;NADH,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,1-Octanal,5e-05,,-,M
90,6459,NADH;m-Nitrobenzaldehyde,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,4.33333333,,-,s^(-1)
91,6459,NADH;m-Nitrobenzaldehyde,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,m-Nitrobenzaldehyde,6e-05,,-,M
92,6460,1-Octanal;NADH,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,NADH,1e-05,,-,M
93,6460,1-Octanal;NADH,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,,,-,-
94,6467,NAD+;Ethanol,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,Km,Ethanol,0.34,,-,M
95,6467,NAD+;Ethanol,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,kcat,,62.6666667,,-,s^(-1)
96,6468,NADH;Butanal,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,Km,1-Butanol,0.017,,-,M
97,6468,NADH;Butanal,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,kcat,,48.8333333,,-,s^(-1)
98,6469,NAD+;1-Octanol,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,kcat,,60.8333333,,-,s^(-1)
99,6469,NAD+;1-Octanol,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,Km,1-Octanol,0.0001,,-,M
100,6470,1-Pentanol;NAD+,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,kcat,,48.8333333,,-,s^(-1)
101,6470,1-Pentanol;NAD+,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,Km,1-Pentanol,0.0031,,-,M
102,6471,NAD+;12-Hydroxydodecanoic acid,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,Km,12-Hydroxydodecanoic acid,0.0014,,-,M
103,6471,NAD+;12-Hydroxydodecanoic acid,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,kcat,,20.0,,-,s^(-1)
104,6472,NAD+;2-Buten-1-ol,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,kcat,,20.0,,-,s^(-1)
105,6472,NAD+;2-Buten-1-ol,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,Km,2-Buten-1-ol,0.0014,,-,M
106,6473,NAD+;Cyclohexanol,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,kcat,,1.75,,-,s^(-1)
107,6473,NAD+;Cyclohexanol,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,Km,Cyclohexanol,0.22,,-,M
108,6474,NAD+;Benzyl alcohol,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,kcat,,89.6666667,,-,s^(-1)
109,6474,NAD+;Benzyl alcohol,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,Km,Benzyl alcohol,0.0014,,-,M
110,6475,NAD+;1-Pentanol,wildtype ADH-2,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,1-Pentanol,0.078,,-,M
111,6475,NAD+;1-Pentanol,wildtype ADH-2,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,3.53333333,,-,s^(-1)
112,6476,NAD+;1-Octanol,wildtype ADH-2,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,1-Octanol,0.00051,,-,M
113,6476,NAD+;1-Octanol,wildtype ADH-2,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,2.33333333,,-,s^(-1)
114,6477,12-Hydroxydodecanoic acid;NAD+,wildtype ADH-2,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,12-Hydroxydodecanoic acid,0.0001,,-,M
115,6477,12-Hydroxydodecanoic acid;NAD+,wildtype ADH-2,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,3.83333333,,-,s^(-1)
116,6478,2-Buten-1-ol;NAD+,wildtype ADH-2,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,5.83333333,,-,s^(-1)
117,6478,2-Buten-1-ol;NAD+,wildtype ADH-2,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,2-Buten-1-ol,0.06,,-,M
118,6479,Cyclohexanol;NAD+,wildtype ADH-2,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,0.383333333,,-,s^(-1)
119,6479,Cyclohexanol;NAD+,wildtype ADH-2,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,Cyclohexanol,1.9,,-,M
120,6480,NAD+;1-Octanol,wildtype ADH-2,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,NAD+,4e-05,,-,M
121,6480,NAD+;1-Octanol,wildtype ADH-2,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,,,-,-
122,6481,Methanol;NAD+,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,Methanol,0.38,,-,M
123,6481,Methanol;NAD+,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,0.2,,-,s^(-1)
124,6482,NAD+;Ethanol,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,Ethanol,0.0014,,-,M
125,6482,NAD+;Ethanol,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,1.0,,-,s^(-1)
126,6483,1-Butanol;NAD+,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,0.833333333,,-,s^(-1)
127,6483,1-Butanol;NAD+,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,1-Butanol,0.00017,,-,M
128,6484,NAD+;1-Pentanol,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,1-Pentanol,8e-05,,-,M
129,6484,NAD+;1-Pentanol,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,1.16666667,,-,s^(-1)
130,6485,NAD+;1-Octanol,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,1.0,,-,s^(-1)
131,6485,NAD+;1-Octanol,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,1-Octanol,2.5e-05,,-,M
132,6486,NAD+;12-Hydroxydodecanoic acid,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,12-Hydroxydodecanoic acid,1.3e-05,,-,M
133,6486,NAD+;12-Hydroxydodecanoic acid,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,1.26666667,,-,s^(-1)
134,6487,NAD+;2-Buten-1-ol,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,1.66666667,,-,s^(-1)
135,6487,NAD+;2-Buten-1-ol,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,2-Buten-1-ol,0.00035,,-,M
136,6488,Cyclohexanol;NAD+,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,1.5,,-,s^(-1)
137,6488,Cyclohexanol;NAD+,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,Cyclohexanol,0.0022,,-,M
138,6489,Benzyl alcohol;NAD+,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,Benzyl alcohol,5e-05,,-,M
139,6489,Benzyl alcohol;NAD+,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,1.0,,-,s^(-1)
140,6490,NAD+;1-Octanol,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,kcat,,,,-,-
141,6490,NAD+;1-Octanol,wildtype ADH-3,3816781.0,Rattus norvegicus,P12711,1.1.1.1,Km,NAD+,0.0001,,-,M
142,6491,NAD+;1-Octanol,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,kcat,,,,-,-
143,6491,NAD+;1-Octanol,wildtype ADH-1,3816781.0,Rattus norvegicus,P06757,1.1.1.1,Km,NAD+,0.00025,,-,M
144,6921,NAD+;Ethanol,wildtype ADH8A,15231826.0,Danio rerio,Q90Y38 Q6P0S5 Q4QRI0,1.1.1.1,Km,Ethanol,0.0007,,-,M
145,6922,1-Hexanol;NAD+,wildtype ADH8B,15231826.0,Danio rerio,Q7T2J4,1.1.1.1,Km,1-Hexanol,4e-05,,-,M
146,6923,NAD+;1-Octanol,wildtype ADH8B,15231826.0,Danio rerio,Q7T2J4,1.1.1.1,Km,1-Octanol,5e-05,,-,M
147,6924,NAD+;1-Pentanol,wildtype ADH8B,15231826.0,Danio rerio,Q7T2J4,1.1.1.1,Km,1-Pentanol,0.00016,,-,M
148,6925,S-(Hydroxymethyl)glutathione;NAD+,wildtype ADH8B,15231826.0,Danio rerio,Q7T2J4,1.1.1.1,Km,S-(Hydroxymethyl)glutathione,0.0002,,-,M
149,11020,Ethanol;NAD+,wildtype isoenzyme ADH-2,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,Km,Ethanol,0.0041,,-,M
150,11020,Ethanol;NAD+,wildtype isoenzyme ADH-2,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,kcat,,4.91666667,,-,s^(-1)
151,11021,NAD+;Cyclohexanol,wildtype isoenzyme ADH-2,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,kcat,,0.75,,-,s^(-1)
152,11021,NAD+;Cyclohexanol,wildtype isoenzyme ADH-2,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,Km,Cyclohexanol,0.0028,,-,M
153,11022,NAD+;Ethanol,wildtype isoenzyme ADH-2,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,kcat,,4.66666667,,-,s^(-1)
154,11022,NAD+;Ethanol,wildtype isoenzyme ADH-2,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,Km,NAD+,0.00019,,-,M
155,11023,NAD+;Ethanol,wildtype isoenzyme ADH-3,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,kcat,,6.63333333,,-,s^(-1)
156,11023,NAD+;Ethanol,wildtype isoenzyme ADH-3,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,Km,Ethanol,0.0081,,-,M
157,11024,1-Butanol;NAD+,wildtype isoenzyme ADH-3,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,Km,1-Butanol,0.002,,-,M
158,11024,1-Butanol;NAD+,wildtype isoenzyme ADH-3,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,kcat,,7.21666667,,-,s^(-1)
159,11025,NAD+;1-Pentanol,wildtype isoenzyme ADH-3,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,Km,1-Pentanol,0.0002,,-,M
160,11025,NAD+;1-Pentanol,wildtype isoenzyme ADH-3,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,kcat,,2.91666667,,-,s^(-1)
161,11026,1-Octanol;NAD+,wildtype isoenzyme ADH-3,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,kcat,,1.85,,-,s^(-1)
162,11026,1-Octanol;NAD+,wildtype isoenzyme ADH-3,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,Km,1-Octanol,1.1e-05,,-,M
163,11027,NAD+;12-Hydroxydodecanoic acid,wildtype isoenzyme ADH-3,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,Km,12-Hydroxydodecanoic acid,4e-05,,-,M
164,11027,NAD+;12-Hydroxydodecanoic acid,wildtype isoenzyme ADH-3,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,kcat,,1.45,,-,s^(-1)
165,11028,NAD+;Cyclohexanol,wildtype isoenzyme ADH-3,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,kcat,,3.55,,-,s^(-1)
166,11028,NAD+;Cyclohexanol,wildtype isoenzyme ADH-3,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,Km,Cyclohexanol,0.0052,,-,M
167,11029,Benzyl alcohol;NAD+,wildtype isoenzyme ADH-3,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,kcat,,2.51666667,,-,s^(-1)
168,11029,Benzyl alcohol;NAD+,wildtype isoenzyme ADH-3,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,Km,Benzyl alcohol,1.3e-05,,-,M
169,11030,1-Octanal;NADH,wildtype isoenzyme ADH-3,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,Km,Octanal,4.3e-05,,-,M
170,11030,1-Octanal;NADH,wildtype isoenzyme ADH-3,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,kcat,,17.0,,-,s^(-1)
171,11031,NAD+;Ethanol,wildtype isoenzyme ADH-3,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,kcat,,6.18333333,,-,s^(-1)
172,11031,NAD+;Ethanol,wildtype isoenzyme ADH-3,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,Km,NAD+,0.00023,,-,M
173,11032,NAD+;1-Octanol,wildtype isoenzyme ADH-3,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,kcat,,8.88333333,,-,s^(-1)
174,11032,NAD+;1-Octanol,wildtype isoenzyme ADH-3,2789998.0,Coturnix coturnix japonica,P19631,1.1.1.1,Km,NADH,5.1e-06,,-,M
